Community,Task,Field,Value
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Submit,Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Submit,Due On,2025-09-04
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Submit,CIP-Team,Legal
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Submit,CIP-Line ID,P1088.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Conditional,Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Conditional,Due On,2025-09-04
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Conditional,CIP-Team,Legal
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Conditional,CIP-Line ID,P1089.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Final,Assignee,1202584680648809
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Final,Due On,2025-09-05
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Final,CIP-Team,Marketing
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),DRE Final,CIP-Line ID,P1090.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),First Lot Takedown/Open Escrow,Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),First Lot Takedown/Open Escrow,Due On,2025-09-08
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),First Lot Takedown/Open Escrow,CIP-Milestone,*
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),First Lot Takedown/Open Escrow,CIP-Team,Legal
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),Assignee,1199128502925200
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),Due On,2025-09-09
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),CIP-Team,Land Dev
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Preliminary Selection (6 wks prior to LD Start),CIP-Line ID,P1092.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Final Selection (2 wks prior to LD start),Assignee,1199128502925200
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Final Selection (2 wks prior to LD start),Due On,2025-09-10
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Final Selection (2 wks prior to LD start),CIP-Team,Land Dev
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),LD Trade Partner Final Selection (2 wks prior to LD start),CIP-Line ID,P1093.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),SWPPP Plan Review and Approval,Assignee,1199128502925200
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),SWPPP Plan Review and Approval,Due On,2025-09-11
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),SWPPP Plan Review and Approval,CIP-Team,Land Dev
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),SWPPP Plan Review and Approval,CIP-Line ID,P1094.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),ID Land Banker/JV Partner,Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),ID Land Banker/JV Partner,Due On,2025-09-11
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),ID Land Banker/JV Partner,CIP-Team,Management
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),ID Land Banker/JV Partner,CIP-Line ID,P1095.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),All Approvals (Must tie to SOGA document),Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),All Approvals (Must tie to SOGA document),Due On,2025-09-11
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),All Approvals (Must tie to SOGA document),CIP-Team,Legal
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),All Approvals (Must tie to SOGA document),CIP-Line ID,P1096.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Selections for Sales Models only (2 wks after DTO),Assignee,1202584680648809
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Selections for Sales Models only (2 wks after DTO),Due On,2025-09-12
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Selections for Sales Models only (2 wks after DTO),CIP-Team,Marketing
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Selections for Sales Models only (2 wks after DTO),CIP-Line ID,P1097.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),Assignee,1202584680648809
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),Due On,2025-09-15
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Milestone,*
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Team,Purchasing
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Community Set-up and Purchasing Complete and Validated (12 wks after DTO),CIP-Line ID,P1098.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Construction Kick-Off Meeting and Available Selections Meeting,Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Construction Kick-Off Meeting and Available Selections Meeting,Due On,2025-09-16
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Construction Kick-Off Meeting and Available Selections Meeting,CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Construction Kick-Off Meeting and Available Selections Meeting,CIP-Line ID,P1099.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Sellout Meeting (6 wks prior to sales opening),Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Sellout Meeting (6 wks prior to sales opening),Due On,2025-09-17
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Sellout Meeting (6 wks prior to sales opening),CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Pre-Sellout Meeting (6 wks prior to sales opening),CIP-Line ID,P1100.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Sellout Meeting (2 wks prior to sales opening),Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Sellout Meeting (2 wks prior to sales opening),Due On,2025-09-18
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Sellout Meeting (2 wks prior to sales opening),CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Sellout Meeting (2 wks prior to sales opening),CIP-Line ID,P1101.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),HOA/DCA Approvals,Assignee,1202483398164627
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),HOA/DCA Approvals,Due On,2025-09-18
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),HOA/DCA Approvals,CIP-Team,Legal
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),HOA/DCA Approvals,CIP-Line ID,P1102.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Foundation Start,Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Foundation Start,Due On,2025-09-18
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Foundation Start,CIP-Milestone,*
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Foundation Start,CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Foundation Start,CIP-Line ID,P1103.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Delivery,Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Delivery,Due On,2025-09-19
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Delivery,CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),1st Production Delivery,CIP-Line ID,P1104.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Last Production Delivery,Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Last Production Delivery,Due On,2025-09-22
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Last Production Delivery,CIP-Team,Operations
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Last Production Delivery,CIP-Line ID,P1105.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),City Dedication,Assignee,1199128502925200
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),City Dedication,Due On,2025-09-23
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),City Dedication,CIP-Team,Land Dev
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),City Dedication,CIP-Line ID,P1106.C
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Alternate Financing (if necessary),Assignee,1202453112366854
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Alternate Financing (if necessary),Due On,2025-09-24
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Alternate Financing (if necessary),CIP-Team,TBD
FE_HOU.DIV-0036 - Roman Forest ( 0036 ),Alternate Financing (if necessary),CIP-Line ID,P1107.C
FE_I02-0034 - Davie 11 THG ( 0034 ),ID Property,Assignee,1202483398164627
FE_I02-0034 - Davie 11 THG ( 0034 ),ID Property,Due On,2022-11-09
FE_I02-0034 - Davie 11 THG ( 0034 ),ID Property,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),ID Property,CIP-Team,"Architecture, Land Acq"
FE_I02-0034 - Davie 11 THG ( 0034 ),ID Property,CIP-Line ID,P1000.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Submit for Model Permit,Assignee,1199128502925200
FE_I02-0034 - Davie 11 THG ( 0034 ),Submit for Model Permit,Due On,2022-12-26
FE_I02-0034 - Davie 11 THG ( 0034 ),Submit for Model Permit,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Submit for Model Permit,CIP-Team,Construction
FE_I02-0034 - Davie 11 THG ( 0034 ),Submit for Model Permit,CIP-Line ID,P1066.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Plan Approval,Assignee,1202453112366854
FE_I02-0034 - Davie 11 THG ( 0034 ),Plan Approval,Due On,2023-01-02
FE_I02-0034 - Davie 11 THG ( 0034 ),Plan Approval,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Plan Approval,CIP-Team,Architecture
FE_I02-0034 - Davie 11 THG ( 0034 ),Plan Approval,CIP-Line ID,P1010.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Begin Bid Process,Assignee,1202584680648809
FE_I02-0034 - Davie 11 THG ( 0034 ),Begin Bid Process,Due On,2023-01-09
FE_I02-0034 - Davie 11 THG ( 0034 ),Begin Bid Process,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Begin Bid Process,CIP-Team,Purchasing
FE_I02-0034 - Davie 11 THG ( 0034 ),Begin Bid Process,CIP-Line ID,P1011.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Contract Signed,Assignee,1202483398164627
FE_I02-0034 - Davie 11 THG ( 0034 ),Contract Signed,Due On,2023-01-16
FE_I02-0034 - Davie 11 THG ( 0034 ),Contract Signed,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Contract Signed,CIP-Team,Legal
FE_I02-0034 - Davie 11 THG ( 0034 ),Contract Signed,CIP-Line ID,P1083.C
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,Assignee,1199128502925200
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,Due On,2023-01-30
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,Start On,2023-01-23
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,CIP-Team,Land Dev
FE_I02-0034 - Davie 11 THG ( 0034 ),LD Start,CIP-Line ID,P1086.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),Assignee,1199128502925200
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),Due On,2023-02-03
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),Start On,2023-01-31
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),CIP-Team,Land Dev
FE_I02-0034 - Davie 11 THG ( 0034 ),Energize Site (Site Hot),CIP-Line ID,P1019.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Model Start,Assignee,1199128502925200
FE_I02-0034 - Davie 11 THG ( 0034 ),Model Start,Due On,2023-02-06
FE_I02-0034 - Davie 11 THG ( 0034 ),Model Start,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Model Start,CIP-Team,Construction
FE_I02-0034 - Davie 11 THG ( 0034 ),Model Start,CIP-Line ID,P1030.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Open for Sale,Assignee,1202584680648809
FE_I02-0034 - Davie 11 THG ( 0034 ),Open for Sale,Due On,2023-02-13
FE_I02-0034 - Davie 11 THG ( 0034 ),Open for Sale,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Open for Sale,CIP-Team,Sales
FE_I02-0034 - Davie 11 THG ( 0034 ),Open for Sale,CIP-Line ID,P1029.C
FE_I02-0034 - Davie 11 THG ( 0034 ),First Lot Takedown/Open Escrow,Assignee,1202483398164627
FE_I02-0034 - Davie 11 THG ( 0034 ),First Lot Takedown/Open Escrow,Due On,2023-02-20
FE_I02-0034 - Davie 11 THG ( 0034 ),First Lot Takedown/Open Escrow,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),First Lot Takedown/Open Escrow,CIP-Team,Legal
FE_I02-0034 - Davie 11 THG ( 0034 ),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
FE_I02-0034 - Davie 11 THG ( 0034 ),Start Production,Assignee,1199128502925200
FE_I02-0034 - Davie 11 THG ( 0034 ),Start Production,Due On,2023-02-27
FE_I02-0034 - Davie 11 THG ( 0034 ),Start Production,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),Start Production,CIP-Team,Construction
FE_I02-0034 - Davie 11 THG ( 0034 ),Start Production,CIP-Line ID,P1032.C
FE_I02-0034 - Davie 11 THG ( 0034 ),1st Production Foundation Start,Assignee,1202453112366854
FE_I02-0034 - Davie 11 THG ( 0034 ),1st Production Foundation Start,Due On,2023-03-06
FE_I02-0034 - Davie 11 THG ( 0034 ),1st Production Foundation Start,CIP-Milestone,*
FE_I02-0034 - Davie 11 THG ( 0034 ),1st Production Foundation Start,CIP-Team,Operations
FE_I02-0034 - Davie 11 THG ( 0034 ),1st Production Foundation Start,CIP-Line ID,P1103.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),ID Property,Assignee,1202483398164627
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),ID Property,Due On,2022-11-09
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),ID Property,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),ID Property,CIP-Team,"Architecture, Land Acq"
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),ID Property,CIP-Line ID,P1000.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Submit for Model Permit,Assignee,1199128502925200
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Submit for Model Permit,Due On,2022-12-26
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Submit for Model Permit,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Submit for Model Permit,CIP-Team,Construction
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Submit for Model Permit,CIP-Line ID,P1066.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Plan Approval,Assignee,1202453112366854
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Plan Approval,Due On,2023-01-02
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Plan Approval,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Plan Approval,CIP-Team,Architecture
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Plan Approval,CIP-Line ID,P1010.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Begin Bid Process,Assignee,1202584680648809
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Begin Bid Process,Due On,2023-01-09
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Begin Bid Process,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Begin Bid Process,CIP-Team,Purchasing
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Begin Bid Process,CIP-Line ID,P1011.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Contract Signed,Assignee,1202483398164627
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Contract Signed,Due On,2023-01-16
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Contract Signed,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Contract Signed,CIP-Team,Legal
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Contract Signed,CIP-Line ID,P1083.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,Assignee,1199128502925200
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,Due On,2023-01-30
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,Start On,2023-01-23
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,CIP-Team,Land Dev
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),LD Start,CIP-Line ID,P1086.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),Assignee,1199128502925200
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),Due On,2023-02-03
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),Start On,2023-01-31
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),CIP-Team,Land Dev
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Energize Site (Site Hot),CIP-Line ID,P1019.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Model Start,Assignee,1199128502925200
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Model Start,Due On,2023-02-06
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Model Start,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Model Start,CIP-Team,Construction
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Model Start,CIP-Line ID,P1030.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Open for Sale,Assignee,1202584680648809
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Open for Sale,Due On,2023-02-13
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Open for Sale,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Open for Sale,CIP-Team,Sales
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Open for Sale,CIP-Line ID,P1029.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),First Lot Takedown/Open Escrow,Assignee,1202483398164627
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),First Lot Takedown/Open Escrow,Due On,2023-02-20
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),First Lot Takedown/Open Escrow,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),First Lot Takedown/Open Escrow,CIP-Team,Legal
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Start Production,Assignee,1199128502925200
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Start Production,Due On,2023-02-27
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Start Production,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Start Production,CIP-Team,Construction
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),Start Production,CIP-Line ID,P1032.C
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),1st Production Foundation Start,Assignee,1202453112366854
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),1st Production Foundation Start,Due On,2023-03-06
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),1st Production Foundation Start,CIP-Milestone,*
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),1st Production Foundation Start,CIP-Team,Operations
FE_I02-0035 - Davie 11 40s on 50s ( 0035 ),1st Production Foundation Start,CIP-Line ID,P1103.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),ID Property,Assignee,1202483398164627
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),ID Property,Due On,2022-11-09
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),ID Property,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),ID Property,CIP-Team,"Architecture, Land Acq"
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),ID Property,CIP-Line ID,P1000.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Submit for Model Permit,Assignee,1199128502925200
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Submit for Model Permit,Due On,2022-12-26
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Submit for Model Permit,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Submit for Model Permit,CIP-Team,Construction
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Submit for Model Permit,CIP-Line ID,P1066.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Plan Approval,Assignee,1202453112366854
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Plan Approval,Due On,2023-01-02
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Plan Approval,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Plan Approval,CIP-Team,Architecture
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Plan Approval,CIP-Line ID,P1010.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Begin Bid Process,Assignee,1202584680648809
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Begin Bid Process,Due On,2023-01-09
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Begin Bid Process,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Begin Bid Process,CIP-Team,Purchasing
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Begin Bid Process,CIP-Line ID,P1011.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Contract Signed,Assignee,1202483398164627
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Contract Signed,Due On,2023-01-16
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Contract Signed,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Contract Signed,CIP-Team,Legal
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Contract Signed,CIP-Line ID,P1083.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,Assignee,1199128502925200
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,Due On,2023-01-30
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,Start On,2023-01-23
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,CIP-Team,Land Dev
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),LD Start,CIP-Line ID,P1086.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),Assignee,1199128502925200
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),Due On,2023-02-03
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),Start On,2023-01-31
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),CIP-Team,Land Dev
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Energize Site (Site Hot),CIP-Line ID,P1019.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Model Start,Assignee,1199128502925200
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Model Start,Due On,2023-02-06
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Model Start,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Model Start,CIP-Team,Construction
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Model Start,CIP-Line ID,P1030.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Open for Sale,Assignee,1202584680648809
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Open for Sale,Due On,2023-02-13
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Open for Sale,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Open for Sale,CIP-Team,Sales
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Open for Sale,CIP-Line ID,P1029.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),First Lot Takedown/Open Escrow,Assignee,1202483398164627
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),First Lot Takedown/Open Escrow,Due On,2023-02-20
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),First Lot Takedown/Open Escrow,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),First Lot Takedown/Open Escrow,CIP-Team,Legal
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Start Production,Assignee,1199128502925200
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Start Production,Due On,2023-02-27
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Start Production,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Start Production,CIP-Team,Construction
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),Start Production,CIP-Line ID,P1032.C
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),1st Production Foundation Start,Assignee,1202453112366854
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),1st Production Foundation Start,Due On,2023-03-06
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),1st Production Foundation Start,CIP-Milestone,*
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),1st Production Foundation Start,CIP-Team,Operations
FE_I02-0036 - Davie 11 50s on 70s ( 0036 ),1st Production Foundation Start,CIP-Line ID,P1103.C
FE_I02-0044 - Wylder Duplex ( 0044 ),ID Property,Assignee,1202483398164627
